Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Toppings Count,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Topping Density,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Traffic Impact,Order Hour
ORD001,Domino's,"New York, NY",05-01-2024 18:30,05-01-2024 18:45,15,Medium,Veg,3,2.5,Medium,Card,TRUE,FALSE,1.2,January,Online,6,9,FALSE,2,18
ORD002,Papa John's,"Los Angeles, CA",14-02-2024 20:00,14-02-2024 20:25,25,Large,Non-Veg,4,5,High,Wallet,TRUE,FALSE,0.8,February,Online,12,13,FALSE,3,20
ORD003,Little Caesars,"Chicago, IL",21-03-2024 12:15,21-03-2024 12:35,20,Small,Vegan,2,3,Low,UPI,FALSE,FALSE,0.666666667,March,Online,7.2,12.8,FALSE,1,12
ORD004,Pizza Hut,"Miami, FL",10-04-2024 19:45,10-04-2024 20:10,25,XL,Cheese Burst,5,4.5,Medium,Cash,TRUE,FALSE,1.111111111,April,Offline,10.8,14.2,FALSE,2,19
ORD005,Marco's Pizza,"Dallas, TX",05-05-2024 13:00,05-05-2024 13:20,20,Medium,Non-Veg,3,2,High,Card,FALSE,TRUE,1.5,May,Online,4.8,15.2,FALSE,3,13
ORD006,Domino's,"New York, NY",06-01-2024 19:00,06-01-2024 19:20,20,Medium,Non-Veg,3,3,High,Card,TRUE,TRUE,1,January,Online,7.2,12.8,FALSE,3,19
ORD007,Papa John's,"Los Angeles, CA",07-01-2024 20:15,07-01-2024 20:40,25,Large,Veg,4,4.5,Medium,UPI,TRUE,TRUE,0.888888889,January,Online,10.8,14.2,FALSE,2,20
ORD008,Little Caesars,"Chicago, IL",08-01-2024 18:30,08-01-2024 18:50,20,Small,Vegan,2,2,Low,Cash,TRUE,FALSE,1,January,Offline,4.8,15.2,FALSE,1,18
ORD009,Pizza Hut,"Miami, FL",09-01-2024 19:45,09-01-2024 20:10,25,XL,Cheese Burst,5,5,High,Wallet,TRUE,FALSE,1,January,Online,12,13,FALSE,3,19
ORD010,Marco's Pizza,"Dallas, TX",10-01-2024 13:00,10-01-2024 13:20,20,Medium,Non-Veg,3,3.5,Medium,Card,FALSE,FALSE,0.857142857,January,Online,8.4,11.6,FALSE,2,13
ORD011,Domino's,"San Francisco, CA",11-01-2024 17:30,11-01-2024 17:50,20,Large,Veg,4,4,Low,UPI,FALSE,FALSE,1,January,Online,9.6,10.4,FALSE,1,17
ORD012,Papa John's,"Houston, TX",12-01-2024 19:00,12-01-2024 19:25,25,Medium,Non-Veg,3,3,Medium,Cash,TRUE,FALSE,1,January,Offline,7.2,17.8,FALSE,2,19
ORD013,Little Caesars,"Phoenix, AZ",13-01-2024 18:15,13-01-2024 18:35,20,Small,Vegan,2,2.5,High,Wallet,TRUE,TRUE,0.8,January,Online,6,14,FALSE,3,18
ORD014,Pizza Hut,"Atlanta, GA",14-01-2024 20:30,14-01-2024 20:55,25,XL,Cheese Burst,5,4,Low,Card,TRUE,TRUE,1.25,January,Online,9.6,15.4,FALSE,1,20
ORD015,Marco's Pizza,"Seattle, WA",15-01-2024 14:00,15-01-2024 14:20,20,Medium,Non-Veg,3,3,Medium,UPI,FALSE,FALSE,1,January,Online,7.2,12.8,FALSE,2,14
ORD016,Domino's,"Denver, CO",16-01-2024 19:45,16-01-2024 20:10,25,Large,Veg,4,4.5,High,Cash,TRUE,FALSE,0.888888889,January,Offline,10.8,14.2,FALSE,3,19
ORD017,Papa John's,"Boston, MA",17-01-2024 18:30,17-01-2024 18:55,25,Small,Vegan,2,2,Low,Wallet,TRUE,FALSE,1,January,Online,4.8,20.2,FALSE,1,18
ORD018,Little Caesars,"Dallas, TX",18-01-2024 20:00,18-01-2024 20:20,20,Medium,Non-Veg,3,3.5,Medium,Card,TRUE,FALSE,0.857142857,January,Online,8.4,11.6,FALSE,2,20
ORD019,Pizza Hut,"Los Angeles, CA",19-01-2024 19:15,19-01-2024 19:40,25,XL,Cheese Burst,5,4,High,UPI,TRUE,FALSE,1.25,January,Online,9.6,15.4,FALSE,3,19
ORD020,Marco's Pizza,"Chicago, IL",20-01-2024 13:30,20-01-2024 13:50,20,Medium,Non-Veg,3,3,Low,Cash,FALSE,TRUE,1,January,Offline,7.2,12.8,FALSE,1,13
ORD021,Domino's,"Miami, FL",21-01-2024 18:45,21-01-2024 19:10,25,Large,Veg,4,4.5,Medium,Wallet,TRUE,TRUE,0.888888889,January,Online,10.8,14.2,FALSE,2,18
ORD022,Papa John's,"Dallas, TX",22-01-2024 20:00,22-01-2024 20:25,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,1,January,Online,4.8,20.2,FALSE,3,20
ORD023,Little Caesars,"Houston, TX",23-01-2024 19:30,23-01-2024 19:50,20,Medium,Non-Veg,3,3.5,Low,UPI,TRUE,FALSE,0.857142857,January,Online,8.4,11.6,FALSE,1,19
ORD024,Pizza Hut,"Phoenix, AZ",24-01-2024 18:15,24-01-2024 18:40,25,XL,Cheese Burst,5,4,Medium,Cash,TRUE,FALSE,1.25,January,Offline,9.6,15.4,FALSE,2,18
ORD025,Marco's Pizza,"Atlanta, GA",25-01-2024 14:30,25-01-2024 14:50,20,Medium,Non-Veg,3,3,High,Wallet,FALSE,FALSE,1,January,Online,7.2,12.8,FALSE,3,14
ORD026,Domino's,"Seattle, WA",26-01-2024 20:00,26-01-2024 20:25,25,Large,Veg,4,4.5,Low,Card,TRUE,FALSE,0.888888889,January,Online,10.8,14.2,FALSE,1,20
